id,title,country,description,designation,points,price,province,region_1,region_2,taster_name,taster_twitter_handle,variety,winery
258,Hartenberg 2007 Cabernet Sauvignon,South Africa,"This wine strikes a superb balance between herbaceous, green notes and ripe black fruit, all graced with a kiss of sweet vanilla. Rich blackberry and cassis flavors flood the palate, but then transition to sweet smoke and oak flavors on the finish.",,89,35.0,Stellenbosch,,,Lauren Buzzeo,@laurbuzz,Cabernet Sauvignon,Hartenberg
259,Vignobles 46N118 2007 Noir 46 Malbec,France,"Tannic yet balanced wine with a great swathe of perfumed fruit as well as dense black flavors. There is a herbal character as well as dark plum and sweet fruit flavors. Age for 2–3 years, the wine will always be firm.",Noir 46,89,13.0,Southwest France,Cahors,,Roger Voss,@vossroger,Malbec,Vignobles 46N118
260,Willamette Valley Vineyards 2009 Estate Pinot Noir,US,"Young, tart and wrapped up tight as a drum, this offers sharp flavors of cranberry and a bit of Campari. It has the heft and polish to open up further with some additional bottle age, but it isn't budging at the moment.",Estate,89,40.0,Oregon,Willamette Valley,Willamette Valley,Paul Gregutt,@paulgwine ,Pinot Noir,Willamette Valley Vineyards
261,Algodon 2008 Estate Blend Gran Reserva Red,Argentina,"A blend of 50% Malbec with Cabernet, Syrah and Merlot that's lightly minty and full of tobacco, pepper and spicy aromas. Feels a bit clampy and tannic, with oaky, herbal flavors of plum and sweet berry. Shows a hint of green and drying tannins on the finish.",Estate Blend Gran Reserva,89,37.0,Mendoza Province,,,Michael Schachner,@wineschach,Red Blend,Algodon
262,Beaver Creek 2008 Fairytale Red,US,"Beaver Creek makes a variation of Fairytale every vintage and this one, sourced from Napa Valley, is 41% Merlot, 36% Zinfandel and 23% Syrah, a mix that seems to work very nicely here. The wine's Zin almost tastes as if it has mountain tannins; the wine is overall herbal and earthy, ripe and sturdy with balanced fruit.",Fairytale,89,39.0,California,Napa Valley,Napa,Virginie Boone,@vboone,Red Blend,Beaver Creek
263,Byron 2009 Monument Pinot Noir,US,"A very good Pinot Noir, rich in cherry, licorice, cola and spice flavors that are wrapped into firm tannins. It's on the forward side, trading complexity and nuance in favor of immediate gratification. Drink now–2014.",Monument,89,60.0,California,Santa Maria Valley,Central Coast,,,Pinot Noir,Byron
264,Jardin 2007 Syrah,South Africa,"A good amount of earthy spice, tea leaves and forrest floor lead the way on the nose, but the black cherry and berry fruit aromas follow shortly after with an additional accent of sweet cured meat. Medium weight and lush, the creamy mouth transitions into a finish loaded with sweet spice and bittersweet cocoa.",,89,19.0,Stellenbosch,,,Lauren Buzzeo,@laurbuzz,Syrah,Jardin
265,Jardin 2009 Nine Yards Chardonnay,South Africa,"Fairly intense and flavorful, this Chard expresses assertive aromas and flavors of wood-grilled peaches, buttercream frosting, lemon custard and toasted brioche. Medium weight in the mouth with good balance and a touch of baking spice on the close.",Nine Yards,89,40.0,Stellenbosch,,,Lauren Buzzeo,@laurbuzz,Chardonnay,Jardin
266,Kaiken 2008 Corte Malbec-Bonarda-Petit Verdot Red,Argentina,"For an under-$15 red blend, Corte has it going on. It's rich and full, almost syrupy on the nose, with lots of oak, ink and vanilla. Shows power and packs a punch, with dark berry, chocolate and spicy flavors. A little tannic and scratchy, but with structure and framework to spare. Malbec (80%), with Bonarda and Petit Verdot.",Corte Malbec-Bonarda-Petit Verdot,89,14.0,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Red Blend,Kaiken
267,Lungarotti 2007 Torre di Giano Vigna il Pino White,Italy,"This vineyard-designate blend of Trebbiano and Grechetto opens with a luminous golden color and elegant aromas of stone fruit, citrus, Golden Delicious apple and mature pear. There's a pretty hint of vanilla and almond butter at the back.",Torre di Giano Vigna il Pino,89,40.0,Central Italy,Torgiano,,,,White Blend,Lungarotti
268,Marchesi Fumanelli 2005 Terso White,Italy,"This sophisticated white wine from the homeland of Italy's most robust reds (Ripasso and Amarone) shows a full, generous appearance with a golden-amber color. Stone fruit, toasted almond and candied lemon give it heft and consistency.",Terso,89,36.0,Veneto,Veneto,,,,White Blend,Marchesi Fumanelli
269,Mariell 2009 Blaufränkisch,Austria,"Smooth and ripe, this is a rich black-fruited wine, its tannins comfortably ensconsed in a rich cushion. There is acidity to balance and spice which, along with the full-bodied fruit character, makes the wine ready to drink now.",,89,17.0,Leithaberg,,,Roger Voss,@vossroger,Blaufränkisch,Mariell
270,Livio Felluga 2009 Friulano,Italy,"A gorgeous expression of Friulano, this wine (in a screwcap bottle) makes an elegant addition to chicken, pasta or seafood dinners. Layers of peach, almond and pineapple are wrapped tightly together.",,89,25.0,Northeastern Italy,Colli Orientali del Friuli,,,,Friulano,Livio Felluga
271,My Big Fat Greek Wine 2010 Assyrtico,Greece,"Lively aromas of lemon, grapefruit and melon start this white from Greece. Flavors of grapefruit and lemon rind are fresh and crisp but still offer dimension. The finish is spicy and clean. A great food wine: pair with grilled fish or clams.",,89,15.0,Santorini,,,Susan Kostrzewa,@suskostrzewa,Assyrtico,My Big Fat Greek Wine
272,Nals Margreid 2010 Sirmian Pinot Bianco,Italy,"This partially oak-aged expression of Pinot Bianco from cool-climate Alto Adige (in the far north of Italy) offers a lovely texture that is creamy and smooth at the same time. Measured aromas include melon, apricot, grapefruit and a touch of vanilla spice.",Sirmian,89,26.0,Northeastern Italy,Alto Adige,,,,Pinot Bianco,Nals Margreid
273,O. Fournier 2007 B Crux Red,Argentina,"Leather, berry, earth, raisin and roasted qualities define the nose on this Tempranillo-led blend of four grapes. Feels good in the mouth, with active raspberry, plum and coffee flavors that comes with a roasted accent. Mildly leafy, baked and woody on the thorough finish.",B Crux,89,19.0,Mendoza Province,Uco Valley,,Michael Schachner,@wineschach,Red Blend,O. Fournier
274,Pico Maccario 2010 Estrosa White,Italy,"This is a gorgeous Italian white from northern Italy that boasts fragrant tones of spring flower and chopped herb backed by peach, honey and white almond. It's crisp, intense and would be perfect with basil Thai curry.",Estrosa,89,13.0,Piedmont,Monferrato,,,,White Blend,Pico Maccario
275,Sottano 2009 Reserva de Familia Cabernet Sauvignon,Argentina,"A medium-weight Cabernet with plum, prune, tobacco and herb aromas. Features average weight and body, with a creamy texture and layered flavors of black fruit, raspberry and spice. Finishes with herb and plum notes as well as a pinch of tobacco.",Reserva de Familia,89,30.0,Mendoza Province,Mendoza,,Michael Schachner,@wineschach,Cabernet Sauvignon,Sottano
276,St. Francis 2009 Old Vines Zinfandel,US,"A huge, kick butt Zinfandel, packed with sweet berry, bacon, black pepper and smoky cedar flavors. There's absolutely nothing shy about it. Packs a real punch all the way through to the spicy finish. Good price for a Sonoma Zin this classic.",Old Vines,89,20.0,California,Sonoma County,Sonoma,,,Zinfandel,St. Francis
277,Trailhead 2010 Cabernet Sauvignon,US,"Quite a good Cabernet, showing the elegance and ripe fruitiness you expect from Napa, in a style for drinking now. Drily tannic, it shows classic blackberry and blueberry flavors.",,89,30.0,California,Napa Valley,Napa,,,Cabernet Sauvignon,Trailhead
278,Erath 2009 Bishop Creek Pinot Noir,US,"Fruity, forward and quite refreshing, this has appealing black cherry fruit with a light candy flavor. The balancing tannins add sufficient depth and weight to allow this a few more years in the cellar.",Bishop Creek,89,50.0,Oregon,Willamette Valley,,Paul Gregutt,@paulgwine ,Pinot Noir,Erath
279,Franz Haas 2009 Sauvignon,Italy,"This oak-fermented Sauvignon (in an artsy, screwcap bottle) delivers a rich, spicy finish and thick layers of peach, citrus, tomato leaf and honey-like aromas. It's a gorgeous wine that is an absolute pleasure to drink.",,89,52.0,Northeastern Italy,Alto Adige,,,,Sauvignon,Franz Haas
280,Forstreiter 2012 Schiefer Reserve Grüner Veltliner,Austria,"A strongly spicy, rich wine, this has great concentration and an intense, dense texture.There is weight with plenty of ripe tropical fruits to contrast pronounced black pepper and bitter almond character. It's still young, so don't drink before 2015. Screwcap.",Schiefer Reserve,92,24.0,Kremstal,,,Roger Voss,@vossroger,Grüner Veltliner,Forstreiter
281,Cambria 2011 Bench Break Vineyard Pinot Noir,US,"This is another fine Pinot from Cambria, showing the winery's great price-quality ratio. Words like opulent and elegant come to mind to describe intense flavors of black cherries, licorice, cola, herb tea and Indian spices. It's bone dry, and also quite tannic, but you can enjoy it now with big, rich lamb and beef dishes, or a wild mushroom risotto. Otherwise, it will continue to improve for at least eight years.",Bench Break Vineyard,92,34.0,California,Santa Maria Valley,Central Coast,,,Pinot Noir,Cambria
282,I Giusti e Zanza 2009 Dulcamara Red,Italy,"This delicious blend of Cabernet Sauvignon, Merlot and Petit Verdot opens with an intense, brooding fragrance of dark fruit, spice and leather. The palate delivers a concentrated black-cherry flavor that's framed by big, chewy tannins and  punctuated by spicy accents of white and black pepper, licorice and pipe. Drink 2015–2024.",Dulcamara,92,41.0,Tuscany,Toscana,,Kerin O’Keefe,@kerinokeefe,Red Blend,I Giusti e Zanza
283,J. Christopher 2011 Bella Vida Vineyard Unfiltered Pinot Noir,US,"Bella Vida replaces the Abbey Ridge bottling and does so with pizzazz. The best of the 2011 releases, this is a beautiful expression of grapes grown on red clay soils, with refined, deeply penetrating flavors of ripe raspberries. Smooth, supple and long, with uncommon purity, it finishes with a kiss of chocolate from 18 months in one-quarter new oak barrels.",Bella Vida Vineyard Unfiltered,92,52.0,Oregon,Dundee Hills,Willamette Valley,Paul Gregutt,@paulgwine ,Pinot Noir,J. Christopher
284,Viña Cobos 2011 Marchiori Vineyard Block C2 Malbec,Argentina,"This huge Malbec defines jammy and concentrated. The bouquet is ripe, soft and minty, while the palate echoes the nose with thickness and density. Flavors of prune, raisin, tea and blackberry are borderline syrupy, while the finish is smooth and pure but doesn't offer much spine or foundation. Drink this modern Malbec sooner rather than later.",Marchiori Vineyard Block C2,92,215.0,Mendoza Province,Perdriel,,Michael Schachner,@wineschach,Malbec,Viña Cobos
285,Salomon-Undhof 2011 Steiner Kögl Erste Lage Riesling,Austria,"This is a very aromatic wine that's rich, spicy and with just a touch of ripeness. It has spiced pear, lychee and honey notes all balanced by a wonderful fresh acidity. Drink now and until 2020. Screwcap.",Steiner Kögl Erste Lage,92,,Kremstal,,,Roger Voss,@vossroger,Riesling,Salomon-Undhof
286,Talley 2011 Rincon Vineyard Pinot Noir,US,"While delicious now with flavors of raspberries, cherries, cola and oak, all showered with tart, citrusy acidity, this wine also has a great future. Give it 6–8 years to evolve in the bottle for further complexity.",Rincon Vineyard,92,60.0,California,Arroyo Grande Valley,Central Coast,,,Pinot Noir,Talley
287,Acústic 2010 Braó Vinyes Velles Carignan-Grenache,Spain,"This is the stud in the Acústic stable. A blend of 70% Carignan and 30% Garnacha, Braó is lively and bright on the nose, with ripe blackberry and cassis aromas. The palate is concentrated and juicy, with fine balance and bold flavors of blueberry, blackberry and coffee. A toasty, dark finish features chocolate, toast and minerality. Drink through 2019.",Braó Vinyes Velles,92,40.0,Catalonia,Montsant,,Michael Schachner,@wineschach,Carignan-Grenache,Acústic
288,Josef Schmid 2011 Kremser Gebling Erste Lage Grüner Veltliner,Austria,"While it feels rich and round, this is also a wine with a crisp side to it. Acidity cuts through ripe pear, apricot and lychee flavors, giving a decidedly crisp balance. It's a wine that is already ready to drink. Screwcap.",Kremser Gebling Erste Lage,92,,Kremstal,,,Roger Voss,@vossroger,Grüner Veltliner,Josef Schmid
289,Parallel 2010 Fortune Teller Cabernet Sauvignon,US,"This 100% Cabernet Sauvignon is so rich and decadent, with milk chocolate, blackberry and new French oak flavors. Made by celebrity winemaker Philippe Melka, it's soft and approacheable on the palate and widely appealing. Your best bet is to drink up now.",Fortune Teller,92,125.0,California,Napa Valley,Napa,,,Cabernet Sauvignon,Parallel
290,Château Lafon-Rochet 2011  Saint-Estèphe,France,"This is a wine that has great potential—you can tell from the firm tannins, tight acidity and closed texture. Initially, black currant flavors are touched with dark, dusty notes, but they finish with more juicy character on the afterntaste. Drink from 2017.",,92,,Bordeaux,Saint-Estèphe,,Roger Voss,@vossroger,Bordeaux-style Red Blend,Château Lafon-Rochet
291,Dionigi 2006  Sagrantino di Montefalco,Italy,"This powerful Sagrantino opens with aromas of meat juice, truffle and black fruit. The palate offers blackberry, black cherry, cinnamon and black pepper, along with tobacco notes. It also has Sagrantino's trademark tannic backbone, but the tannins are ripe and are balanced by bright acidity.",,92,,Central Italy,Sagrantino di Montefalco,,Kerin O’Keefe,@kerinokeefe,Sagrantino,Dionigi
292,Domaine Daniel Dugois 2006 Vin Jaune Savagnin,France,"Rich almonds, ripe peaches and a smoky, oxidized character all come together in this ripe, complex, fascinating wine. There is a great tang of apple acidity on the finish. Drink now.",Vin Jaune,92,45.0,France Other,Arbois,,Roger Voss,@vossroger,Savagnin,Domaine Daniel Dugois
